# Main file: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
200,0,1,358.367,358.491,25900,5673.65
200,0,2,238.899,239.72,23403,9106.13
200,1,0,358.367,358.477,25900,5506.99
200,1,5,314.852,398.88,4958,5802.29
200,2,0,238.899,239.782,23403,9272.79
200,2,3,238.899,259.145,17110,14834
200,2,11,238.899,240.441,23403,10659
200,3,2,238.899,260.198,17110,15023.2
200,3,4,119.468,142.038,17782,18837.6
200,3,10,414.767,483.027,4908,5210.04
200,4,3,119.468,142.947,17782,19024.6
200,4,5,368.499,596.579,4947,7857.55
200,4,8,298.652,592.91,10000,16009.1
200,5,1,331.052,405.834,4958,5635.64
200,5,4,348.099,601.902,4947,8070.3
200,5,7,119.468,937.436,4898,12731.1
200,6,7,179.184,358.675,7841,12604.8
200,6,17,119.468,123.661,23403,16276.3
200,7,5,119.468,949.346,4898,12777.2
200,7,6,179.184,346.828,7841,12391.4
200,7,8,597.266,961.117,5050,7168.98
200,7,15,304.652,664.265,5045,8491.93
200,8,4,298.652,591.021,10000,15983.4
200,8,7,597.266,937.986,5050,7052.22
200,8,9,188.784,348.75,13915,21734.2
200,9,8,207.984,366.702,13915,21691.7
200,9,10,349.652,775.157,10000,17555.5
200,9,14,358.367,816.462,13512,23086.3
200,9,15,269.499,1254.9,4854,11115.4
200,9,16,478.435,974.635,4993,8099.04
200,10,3,370.967,444.74,4908,5312.2
200,10,9,331.052,742.701,10000,17410.8
200,10,11,385.967,824.669,4908,8295.49
200,10,13,254.499,812.148,4876,9684.51
200,11,2,238.899,240.428,23403,10636.5
200,11,10,390.167,840.358,4908,8349.28
200,11,12,179.184,180.817,25900,12859.7
200,12,11,179.184,180.885,25900,12990.9
200,12,23,306.699,1014.19,5091,10731.4
200,13,10,264.699,823.193,4876,9688.18
200,13,14,329.252,748.952,5127,8969.83
200,13,22,267.699,561.089,4924,8329.2
200,14,9,358.367,814.359,13512,23059.7
200,14,13,327.452,771.809,5127,9098.77
200,14,18,230.184,295.822,14564,18206.4
200,14,21,251.784,557.109,9599,17622.6
200,15,7,323.852,674.987,5045,8441.43
200,15,9,274.299,1269.59,4854,11143.2
200,15,16,191.468,584.108,5229,11313.1
200,15,17,179.184,195.534,19679,17379.4
200,16,9,479.035,975.471,4993,8100
200,16,15,193.268,604.394,5229,11444
200,16,18,244.868,463.218,4823,9010.93
200,17,6,119.468,123.885,23403,16489.7
200,17,15,179.184,194.963,19679,17225.8
200,17,19,238.899,260.333,23403,20581.3
200,18,14,251.184,316.812,14564,18205.7
200,18,16,216.668,448.079,4823,9142.76
200,18,19,289.299,596.299,5002,8557.6
200,19,17,238.899,260.166,23403,20541
200,19,18,273.699,599.956,5002,8688.75
200,19,20,385.367,541.168,5059,6600.89
200,19,21,310.052,472.627,5075,7004.64
200,20,19,395.567,550.332,5059,6589.89
200,20,21,181.268,278.409,5229,7978.73
200,20,23,252.984,743.858,4885,10098.6
200,21,14,264.384,569.921,9599,17625.6
200,21,19,298.652,461.405,5075,7006.56
200,21,20,167.468,261.555,5229,7915.27
200,21,22,288.699,772.96,5000,9586.57
200,22,13,292.899,569.033,4924,8203.93
200,22,21,274.899,747.451,5000,9528.09
200,22,23,139.868,237.171,5078,7751.55
200,23,12,315.099,1030.87,5091,10762.7
200,23,20,215.184,716.339,4885,10151
200,23,22,162.668,251.068,5078,7567.8
