edge_tail,edge_head,length,capacity,speed,b,power
0,1,9656.0,25900.20064,97,0.15,4
0,2,6437.0,23403.47319,97,0.15,4
1,0,9656.0,25900.20064,97,0.15,4
1,5,8677.5,4958.180928,97,0.1391011235955056,4
2,0,6437.0,23403.47319,97,0.15,4
2,3,6437.0,17110.52372,97,0.15,4
2,11,6437.0,23403.47319,97,0.15,4
3,2,6437.0,17110.52372,97,0.15,4
3,4,3219.0,17782.7941,97,0.15,4
3,10,9785.333333333334,4908.82673,97,0.14801744106826542,4
4,3,3219.0,17782.7941,97,0.15,4
4,5,9848.166666666666,4947.995469,97,0.09804362910186329,4
4,8,8047.0,10000.0,97,0.15,4
5,1,8370.333333333334,4958.180928,97,0.14420572657401137,4
5,4,9605.666666666666,4947.995469,97,0.10051879099142867,4
5,7,3219.0,4898.587646,97,0.15,4
6,7,4828.0,7841.81131,97,0.15,4
6,17,3219.0,23403.47319,97,0.15,4
7,5,3590.8333333333335,4898.587646,97,0.13446739382687398,4
7,6,4828.0,7841.81131,97,0.15,4
7,8,16093.0,5050.193156,97,0.15,4
7,15,8564.333333333334,5045.822583,97,0.14093916630988984,4
8,4,8047.0,10000.0,97,0.15,4
8,7,16093.0,5050.193156,97,0.15,4
8,9,4828.0,13915.78842,97,0.15,4
9,8,4828.0,13915.78842,97,0.15,4
9,10,8790.666666666666,10000.0,97,0.13731040497497346,4
9,14,9656.0,13512.00155,97,0.15,4
9,15,7390.833333333333,4854.917717,97,0.13064156049159995,4
9,16,13036.666666666666,4993.510694,97,0.1481398619278957,4
10,3,9801.5,4908.82673,97,0.14777330000510125,4
10,9,8709.833333333334,10000.0,97,0.13858474138425916,4
10,11,10997.833333333334,4908.82673,97,0.13169866791943866,4
10,13,6792.666666666667,4876.508287,97,0.1421459417018353,4
11,2,6437.0,23403.47319,97,0.15,4
11,10,11014.0,4908.82673,97,0.13150535681859452,4
11,12,4828.0,25900.20064,97,0.15,4
12,11,4828.0,25900.20064,97,0.15,4
12,23,8280.0,5091.256152,97,0.11661231884057971,4
13,10,7035.166666666667,4876.508287,97,0.13724621544147259,4
13,14,8435.0,5127.526119,97,0.14310017783046827,4
13,22,6776.5,4924.790605,97,0.14248505865859956,4
14,9,9656.0,13512.00155,97,0.15,4
14,13,8224.833333333334,5127.526119,97,0.14675677318689334,4
14,18,6687.166666666666,14564.75315,97,0.10829698676569549,4
14,21,6266.833333333333,9599.180565,97,0.11556075636286268,4
15,7,8418.833333333334,5045.822583,97,0.14337497277928452,4
15,9,7601.0,4854.917717,97,0.12702933824496776,4
15,16,5159.0,5229.910063,97,0.09359371971312269,4
15,17,4828.0,19679.89671,97,0.15,4
16,9,12891.166666666666,4993.510694,97,0.14981188669243797,4
16,15,5110.5,5229.910063,97,0.09448194892867624,4
16,18,6436.166666666667,4823.950831,97,0.07502136364813423,4
17,6,3219.0,23403.47319,97,0.15,4
17,15,4828.0,19679.89671,97,0.15,4
17,19,6437.0,23403.47319,97,0.15,4
18,14,6493.166666666667,14564.75315,97,0.1115326368746631,4
18,16,5935.0,4823.950831,97,0.08135636057287278,4
18,19,7261.5,5002.607563,97,0.13296839495971907,4
19,17,6437.0,23403.47319,97,0.15,4
19,18,7261.5,5002.607563,97,0.13296839495971907,4
19,20,10141.0,5059.91234,97,0.1428261512671334,4
19,21,8144.0,5075.697193,97,0.14821340864440077,4
20,19,9833.833333333334,5059.91234,97,0.1472874260630815,4
20,21,3801.0,5229.910063,97,0.12703235990528808,4
20,23,5798.0,4885.357564,97,0.12490513970334596,4
21,14,6444.666666666666,9599.180565,97,0.11237198717285611,4
21,19,8224.833333333334,5075.697193,97,0.14675677318689334,4
21,20,4286.0,5229.910063,97,0.11265748950069994,4
21,22,6938.166666666667,5000.0,97,0.13916500516466884,4
22,13,6873.5,4924.790605,97,0.1404742852986106,4
22,21,7407.0,5000.0,97,0.13035641960307817,4
22,23,4108.166666666667,5078.508436,97,0.11753417988559373,4
23,12,8425.5,5091.256152,97,0.11459854014598539,4
23,20,5749.5,4885.357564,97,0.12595877902426297,4
23,22,3704.0,5078.508436,97,0.13035907127429805,4
