# Input graph: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/edges.csv
# OD-pairs: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/od0.csv
# Objective: user_eq
# Function: bpr
# Shortest-path algo: dijkstra
# Preprocessing time: 0ms
iteration,customization_time,query_time,line_search_time,total_time,obj_function_value,total_travel_cost
1,0,0,0,0,9.69461e+08,4.0724e+09,
2,0,0,0,0,4.37558e+08,1.24468e+09,
3,0,0,0,0,3.69667e+08,8.80685e+08,
4,0,0,0,0,3.44179e+08,7.54612e+08,
5,0,0,0,0,3.16135e+08,6.40814e+08,
6,0,0,0,0,2.92303e+08,5.44894e+08,
7,0,0,0,0,2.82221e+08,5.09856e+08,
8,0,0,0,0,2.76939e+08,4.92735e+08,
9,0,0,0,0,2.74014e+08,4.88481e+08,
10,0,0,0,0,2.70965e+08,4.83941e+08,
11,0,0,0,0,2.67315e+08,4.77098e+08,
12,0,0,0,0,2.65725e+08,4.66043e+08,
13,0,0,0,0,2.63631e+08,4.65474e+08,
14,0,0,0,0,2.61865e+08,4.6668e+08,
15,0,0,0,0,2.61162e+08,4.6222e+08,
16,0,0,0,0,2.60366e+08,4.54688e+08,
17,0,0,0,0,2.59968e+08,4.51309e+08,
18,0,0,0,0,2.5963e+08,4.51141e+08,
19,0,0,0,0,2.59197e+08,4.51239e+08,
20,0,0,0,0,2.58834e+08,4.50774e+08,
21,0,0,0,0,2.58588e+08,4.51655e+08,
22,0,0,0,0,2.58406e+08,4.51495e+08,
23,0,0,0,0,2.5834e+08,4.51293e+08,
24,0,0,0,0,2.58233e+08,4.51317e+08,
25,0,0,0,0,2.58191e+08,4.50913e+08,
26,0,0,0,0,2.58153e+08,4.51232e+08,
27,0,0,0,0,2.58116e+08,4.5106e+08,
28,0,0,0,0,2.58074e+08,4.51055e+08,
29,0,0,0,0,2.58055e+08,4.50599e+08,
30,0,0,0,0,2.58013e+08,4.50795e+08,
31,0,0,0,0,2.5798e+08,4.50886e+08,
32,0,0,0,0,2.57953e+08,4.50717e+08,
33,0,0,0,0,2.57915e+08,4.51381e+08,
34,0,0,0,0,2.57893e+08,4.51307e+08,
35,0,0,0,0,2.57871e+08,4.51127e+08,
36,0,0,0,0,2.57857e+08,4.51383e+08,
37,0,0,0,0,2.57847e+08,4.51336e+08,
38,0,0,0,0,2.5784e+08,4.51214e+08,
39,0,0,0,0,2.57834e+08,4.51231e+08,
40,0,0,0,0,2.57829e+08,4.51224e+08,
41,0,0,0,0,2.57825e+08,4.51326e+08,
42,0,0,0,0,2.57821e+08,4.51074e+08,
43,0,0,0,0,2.57816e+08,4.512e+08,
44,0,0,0,0,2.57811e+08,4.51545e+08,
45,0,0,0,0,2.57808e+08,4.5166e+08,
46,0,0,0,0,2.57806e+08,4.51524e+08,
47,0,0,0,0,2.57804e+08,4.5149e+08,
48,0,0,0,0,2.57802e+08,4.51521e+08,
49,0,0,0,0,2.578e+08,4.5173e+08,
50,0,0,0,0,2.57793e+08,4.52067e+08,
51,0,0,0,0,2.57789e+08,4.52308e+08,
52,0,0,0,0,2.57786e+08,4.52377e+08,
53,0,0,0,0,2.57785e+08,4.52312e+08,
54,0,0,0,0,2.57784e+08,4.52216e+08,
55,0,0,0,0,2.57781e+08,4.52333e+08,
56,0,0,0,0,2.5778e+08,4.52281e+08,
57,0,0,0,0,2.57779e+08,4.5212e+08,
58,0,0,0,0,2.57778e+08,4.52063e+08,
59,0,0,0,0,2.57778e+08,4.52117e+08,
60,0,0,0,0,2.57777e+08,4.52134e+08,
61,0,0,0,0,2.57777e+08,4.52098e+08,
62,0,0,0,0,2.57776e+08,4.52086e+08,
63,0,0,0,0,2.57776e+08,4.52009e+08,
64,0,0,0,0,2.57775e+08,4.52059e+08,
65,0,0,0,0,2.57775e+08,4.52131e+08,
66,0,0,0,0,2.57774e+08,4.52105e+08,
67,0,0,0,0,2.57774e+08,4.52132e+08,
68,0,0,0,0,2.57773e+08,4.52233e+08,
69,0,0,0,0,2.57772e+08,4.5228e+08,
70,0,0,0,0,2.57772e+08,4.52242e+08,
71,0,0,0,0,2.57772e+08,4.52202e+08,
72,0,0,0,0,2.57772e+08,4.5228e+08,
73,0,0,0,0,2.57771e+08,4.52279e+08,
74,0,0,0,0,2.57771e+08,4.52263e+08,
75,0,0,0,0,2.57771e+08,4.52293e+08,
