# Main file: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
200,0,1,358.367,358.48,25900,5540.74
200,0,2,238.899,239.727,23403,9125.25
200,1,0,358.367,358.478,25900,5525.22
200,1,5,298.652,398.835,4958,6063.05
200,2,0,238.899,239.733,23403,9140.78
200,2,3,238.899,257.691,17110,14560.1
200,2,11,238.899,240.403,23403,10592.9
200,3,2,238.899,257.607,17110,14543.8
200,3,4,119.468,140.715,17782,18555.4
200,3,10,358.967,427.199,4908,5209.51
200,4,3,119.468,140.646,17782,18540.3
200,4,5,361.299,597.66,4947,7927.92
200,4,8,298.652,595.945,10000,16050.3
200,5,1,298.652,397.812,4958,6047.52
200,5,4,357.699,598.531,4947,7965.16
200,5,7,119.468,921.482,4898,12668.6
200,6,7,179.184,344.087,7841,12340.5
200,6,17,119.468,123.532,23403,16150.3
200,7,5,119.468,926.994,4898,12690.3
200,7,6,179.184,340.59,7841,12274.5
200,7,8,597.266,936.689,5050,7045.5
200,7,15,298.652,657.973,5045,8490.2
200,8,4,298.652,592.085,10000,15997.9
200,8,7,597.266,927.273,5050,6996.12
200,8,9,179.184,342.911,13915,21860.8
200,9,8,179.184,342.859,13915,21859.1
200,9,10,310.052,734.857,10000,17548.2
200,9,14,358.367,822.83,13512,23166.1
200,9,15,276.099,1243.68,4854,11064.8
200,9,16,479.035,975.471,4993,8100
200,10,3,359.567,433.127,4908,5308.36
200,10,9,304.652,716.388,10000,17411.7
200,10,11,406.367,836.468,4908,8254.53
200,10,13,244.899,827.579,4876,9791.4
200,11,2,238.899,240.421,23403,10624.7
200,11,10,404.567,858.9,4908,8368.42
200,11,12,179.184,180.763,25900,12752.8
200,12,11,179.184,180.889,25900,12998.4
200,12,23,297.699,1000.33,5091,10712.9
200,13,10,250.299,820.797,4876,9739.82
200,13,14,300.452,712.351,5127,8927.85
200,13,22,252.099,560.853,4924,8436.16
200,14,9,358.967,824.39,13512,23178
200,14,13,301.652,740.259,5127,9069.19
200,14,18,209.184,277.602,14564,18396.2
200,14,21,242.184,549.001,9599,17644.1
200,15,7,298.652,658.844,5045,8495.34
200,15,9,279.099,1254.68,4854,11087.6
200,15,16,188.468,598.697,5229,11437.7
200,15,17,179.184,193.399,19679,16782.2
200,16,9,478.435,974.882,4993,8100.05
200,16,15,189.668,595.273,5229,11405.4
200,16,18,220.868,455.074,4823,9170.24
200,17,6,119.468,123.599,23403,16216.2
200,17,15,179.184,193.605,19679,16842.5
200,17,19,238.899,259.012,23403,20256.5
200,18,14,209.784,279.592,14564,18488.9
200,18,16,219.668,450.59,4823,9137.93
200,18,19,262.299,596.593,5002,8741.77
200,19,17,238.899,259.116,23403,20282.7
200,19,18,258.099,601.722,5002,8802.13
200,19,20,360.767,515.277,5059,6587.17
200,19,21,299.252,461.441,5075,7000.48
200,20,19,358.367,510.994,5059,6567.02
200,20,21,171.068,288.852,5229,8372.48
200,20,23,203.184,704.629,4885,10152.5
200,21,14,242.184,546.271,9599,17604.7
200,21,19,298.652,461.469,5075,7007.25
200,21,20,175.268,280.742,5229,8144.59
200,21,22,258.099,753.628,5000,9641.86
200,22,13,250.899,532.365,4924,8243.24
200,22,21,253.299,697.406,5000,9381.36
200,22,23,141.668,233.154,5078,7633.01
200,23,12,300.099,1041.74,5091,10858.6
200,23,20,199.584,743.347,4885,10360.2
200,23,22,263.468,335.077,5078,7179.58
