edge_tail,edge_head,length,capacity,speed,b,power
0,1,9656.0,25900,97,0.15,4
0,2,6437.0,23403,97,0.15,4
1,0,9656.0,25900,97,0.15,4
1,5,8418.833333333334,4958,97,0.14337497277928452,4
2,0,6437.0,23403,97,0.15,4
2,3,6437.0,17111,97,0.15,4
2,11,6437.0,23403,97,0.15,4
3,2,6437.0,17111,97,0.15,4
3,4,3219.0,17783,97,0.15,4
3,10,11385.833333333334,4909,97,0.12721071506989678,4
4,3,3219.0,17783,97,0.15,4
4,5,9072.166666666666,4948,97,0.10642992302463579,4
4,8,8047.0,10000,97,0.15,4
5,1,8887.666666666666,4958,97,0.13581179912237934,4
5,4,10317.0,4948,97,0.09358825239895317,4
5,7,4205.166666666667,4899,97,0.11482303515516624,4
6,7,4828.0,7842,97,0.15,4
6,17,3219.0,23403,97,0.15,4
7,5,4431.5,4899,97,0.10895859189890555,4
7,6,4828.0,7842,97,0.15,4
7,8,16093.0,5050,97,0.15,4
7,15,8855.333333333334,5046,97,0.13630768651660016,4
8,4,8047.0,10000,97,0.15,4
8,7,16093.0,5050,97,0.15,4
8,9,5086.666666666667,13916,97,0.14237221494102226,4
9,8,5555.5,13916,97,0.1303573035730357,4
9,10,10552.833333333334,10000,97,0.11438160367673768,4
9,14,10399.666666666666,13512,97,0.13927369466970094,4
9,15,7374.666666666667,4855,97,0.13092795154583256,4
9,16,15219.166666666666,4994,97,0.12689590976290863,4
10,3,10286.5,4909,97,0.14080591065960238,4
10,9,9890.0,10000,97,0.12204752275025278,4
10,11,12646.833333333334,4909,97,0.11452669311158259,4
10,13,7229.166666666666,4877,97,0.13356311239193083,4
11,2,6437.0,23403,97,0.15,4
11,10,11369.666666666666,4909,97,0.12739159752557974,4
11,12,4828.0,25900,97,0.15,4
12,11,4973.5,25900,97,0.14561174223383933,4
12,23,8166.833333333334,5091,97,0.11822819942450152,4
13,10,7051.333333333333,4877,97,0.13693154958873027,4
13,14,8548.166666666666,5128,97,0.14120571662539727,4
13,22,7520.166666666667,4925,97,0.1283947607544159,4
14,9,10448.166666666666,13512,97,0.13862719137328716,4
14,13,8726.0,5128,97,0.13832798533119411,4
14,18,5992.0,14565,97,0.12086114819759679,4
14,21,7382.333333333334,9599,97,0.09809906533616289,4
15,7,9275.666666666666,5046,97,0.1301308082078557,4
15,9,8134.5,4855,97,0.11869813756223492,4
15,16,4221.333333333333,5230,97,0.11438329121920404,4
15,17,4828.0,19680,97,0.15,4
16,9,14297.666666666666,4994,97,0.13507448767864222,4
16,15,4787.166666666666,5230,97,0.10086341955923825,4
16,18,6694.833333333333,4824,97,0.07212278124922203,4
17,6,3219.0,23403,97,0.15,4
17,15,4828.0,19680,97,0.15,4
17,19,6437.0,23403,97,0.15,4
18,14,6962.0,14565,97,0.10402183280666474,4
18,16,5805.666666666666,4824,97,0.08316874318194867,4
18,19,7099.833333333333,5003,97,0.13599615014436958,4
19,17,6437.0,23403,97,0.15,4
19,18,7277.666666666667,5003,97,0.13267301790867034,4
19,20,11305.0,5060,97,0.1281203007518797,4
19,21,8208.666666666666,5076,97,0.14704580524648747,4
20,19,10787.666666666666,5060,97,0.134264437783889,4
20,21,7648.666666666667,5230,97,0.06312864987361631,4
20,23,6509.333333333333,4885,97,0.11125563293732077,4
21,14,5361.5,9599,97,0.13507413969971088,4
21,19,9017.0,5076,97,0.13386381279804813,4
21,20,4609.333333333333,5230,97,0.1047548452415389,4
21,22,8005.166666666666,5000,97,0.12061585226208074,4
22,13,6760.333333333333,4925,97,0.14282579754449978,4
22,21,8328.5,5000,97,0.11593324127994237,4
22,23,3865.6666666666665,5079,97,0.12490730361300335,4
23,12,8231.5,5091,97,0.11729939865152159,4
23,20,6719.5,4885,97,0.10777587618126348,4
23,22,4286.0,5079,97,0.11265748950069994,4
