# Main file: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
200,0,1,358.367,358.464,25900,5338.45
200,0,2,238.899,239.736,23403,9149.95
200,1,0,358.367,358.474,25900,5468.12
200,1,5,312.452,388.335,4958,5656.26
200,2,0,238.899,239.675,23403,8978.28
200,2,3,238.899,259.016,17111,14811.1
200,2,11,238.899,240.515,23403,10783.9
200,3,2,238.899,260.059,17111,14999.5
200,3,4,119.468,141.987,17783,18828.1
200,3,10,422.567,490.899,4909,5212.47
200,4,3,119.468,142.863,17783,19008.5
200,4,5,336.699,585.651,4948,8033.08
200,4,8,298.652,588.479,10000,15948.5
200,5,1,329.852,416.378,4958,5844.93
200,5,4,382.899,611.339,4948,7862.24
200,5,7,156.068,929.115,4899,12555.2
200,6,7,179.184,358.789,7842,12608.4
200,6,17,119.468,123.666,23403,16281.8
200,7,5,164.468,958.369,4899,12639
200,7,6,179.184,343.591,7842,12332.8
200,7,8,597.266,951.335,5050,7120.3
200,7,15,328.652,661.299,5046,8329.7
200,8,4,298.652,617.356,10000,16331.8
200,8,7,597.266,926.923,5050,6994.27
200,8,9,188.784,343.07,13916,21540.2
200,9,8,206.184,373.17,13916,21970.4
200,9,10,391.652,799.936,10000,17375.1
200,9,14,385.967,825.973,13512,22854.9
200,9,15,273.699,1246.63,4855,11082.4
200,9,16,564.835,1070.81,4994,8140.28
200,10,3,381.767,458.995,4909,5374.43
200,10,9,367.052,753.521,10000,17138.2
200,10,11,469.367,834.442,4909,7924.72
200,10,13,268.299,817.613,4877,9650.1
200,11,2,238.899,240.309,23403,10423.9
200,11,10,421.967,818.786,4909,8091.63
200,11,12,179.184,180.718,25900,12660.6
200,12,11,184.584,186.175,25900,12776.5
200,12,23,303.099,1039.91,5091,10840.9
200,13,10,261.699,806.961,4877,9632.25
200,13,14,317.252,762.623,5128,9105.73
200,13,22,279.099,547.405,4925,8146.8
200,14,9,387.767,799.576,13512,22479.6
200,14,13,323.852,791.873,5128,9219.36
200,14,18,222.384,288.747,14565,18257.7
200,14,21,273.984,576.848,9599,17587
200,15,7,344.252,677.576,5046,8333.93
200,15,9,301.899,1257.44,4855,11032.5
200,15,16,156.668,571.915,5230,11474.7
200,15,17,179.184,195.835,19680,17460
200,16,9,530.635,1052.01,4994,8201.49
200,16,15,177.668,607.277,5230,11572.7
200,16,18,248.468,475.961,4824,9105.71
200,17,6,119.468,123.84,23403,16447.4
200,17,15,179.184,195.527,19680,17378.4
200,17,19,238.899,260.892,23403,20714.2
200,18,14,258.384,323.674,14565,18183.4
200,18,16,215.468,437.924,4824,9054.87
200,18,19,263.499,588.493,5003,8682.06
200,19,17,238.899,260.547,23403,20632.3
200,19,18,270.099,591.797,5003,8659.97
200,19,20,419.567,584.17,5060,6693.52
200,19,21,304.652,461.578,5076,6944.35
200,20,19,400.367,555.604,5060,6596.21
200,20,21,283.868,367.842,5230,7694.89
200,20,23,241.584,729.422,4885,10082.9
200,21,14,198.984,490.012,9599,17412.6
200,21,19,334.652,501.599,5076,7052.65
200,21,20,171.068,271.943,5230,8055.87
200,21,22,297.099,760.761,5000,9482.96
200,22,13,250.899,520.462,4925,8156.33
200,22,21,309.099,791.192,5000,9575.83
200,22,23,143.468,240.338,5079,7744.44
200,23,12,305.499,1035.77,5091,10816.8
200,23,20,249.384,685.02,4885,9801.63
200,23,22,159.068,263.315,5079,7887.84
