edge_tail,edge_head,length,capacity,speed,b,power
0,1,10464.333333333334,25900.20064,97,0.13841302201127637,4
0,2,6437.0,23403.47319,97,0.15,4
1,0,10561.333333333334,25900.20064,97,0.1371417750284055,4
1,5,8047.0,4958.180928,97,0.15,4
2,0,6437.0,23403.47319,97,0.15,4
2,3,6437.0,17110.52372,97,0.15,4
2,11,6437.0,23403.47319,97,0.15,4
3,2,6437.0,17110.52372,97,0.15,4
3,4,3219.0,17782.7941,97,0.15,4
3,10,10270.333333333334,4908.82673,97,0.14102755509395992,4
4,3,3219.0,17782.7941,97,0.15,4
4,5,8053.666666666666,4947.995469,97,0.11988949132900129,4
4,8,8887.666666666666,10000.0,97,0.13581179912237934,4
5,1,9081.666666666666,4958.180928,97,0.1329106258028996,4
5,4,8150.666666666666,4947.995469,97,0.11846270243742843,4
5,7,3477.6666666666665,4898.587646,97,0.1388430940285632,4
6,7,5507.0,7841.81131,97,0.13150535681859452,4
6,17,4447.666666666666,23403.47319,97,0.10856254215693623,4
7,5,3348.3333333333335,4898.587646,97,0.1442060726729716,4
7,6,6089.0,7841.81131,97,0.11893578584332401,4
7,8,16222.333333333334,5050.193156,97,0.14880411778001518,4
7,15,9696.0,5045.822583,97,0.1244894801980198,4
8,4,8952.333333333334,10000.0,97,0.13483077037643815,4
8,7,16739.666666666668,5050.193156,97,0.14420538043370038,4
8,9,6315.333333333334,13915.78842,97,0.1146732819592526,4
9,8,5345.333333333333,13915.78842,97,0.13548266400598652,4
9,10,9663.666666666666,10000.0,97,0.12490600531199338,4
9,14,10335.0,13512.00155,97,0.14014513788098693,4
9,15,6986.666666666667,4854.917717,97,0.13819895038167937,4
9,16,12875.0,4993.510694,97,0.15,4
10,3,10173.333333333334,4908.82673,97,0.14237221494102226,4
10,9,9243.333333333334,10000.0,97,0.13058600793364586,4
10,11,9656.0,4908.82673,97,0.15,4
10,13,6534.0,4876.508287,97,0.14777318640955003,4
11,2,7180.666666666667,23403.47319,97,0.1344652307120973,4
11,10,11337.333333333334,4908.82673,97,0.1277549100317535,4
11,12,4828.0,25900.20064,97,0.15,4
12,11,5070.5,25900.20064,97,0.1428261512671334,4
12,23,7665.666666666666,5091.256152,97,0.12595773361742837,4
13,10,7762.666666666666,4876.508287,97,0.12438380281690141,4
13,14,8968.5,5127.526119,97,0.1345877236996153,4
13,22,7762.666666666666,4924.790605,97,0.12438380281690141,4
14,9,10173.333333333334,13512.00155,97,0.14237221494102226,4
14,13,8047.0,5127.526119,97,0.15,4
14,18,5927.333333333334,14564.75315,97,0.1221797323135755,4
14,21,5830.333333333333,9599.180565,97,0.12421245211823223,4
15,7,8726.0,5045.822583,97,0.13832798533119411,4
15,9,6857.333333333333,4854.917717,97,0.1408054637371184,4
15,16,4189.0,5229.910063,97,0.11526617331105275,4
15,17,5474.666666666667,19679.89671,97,0.13228202630297123,4
16,9,14136.0,4993.510694,97,0.1366192699490662,4
16,15,3768.666666666667,5229.910063,97,0.1281222359808951,4
16,18,4544.666666666666,4823.950831,97,0.1062454158720845,4
17,6,4108.166666666667,23403.47319,97,0.11753417988559373,4
17,15,6186.0,19679.89671,97,0.11707080504364693,4
17,19,6437.0,23403.47319,97,0.15,4
18,14,6315.333333333334,14564.75315,97,0.1146732819592526,4
18,16,4253.666666666666,4823.950831,97,0.11351383120445108,4
18,19,6792.666666666667,5002.607563,97,0.1421459417018353,4
19,17,7698.0,23403.47319,97,0.12542868277474667,4
19,18,7568.666666666667,5002.607563,97,0.12757200739892538,4
19,20,10561.333333333334,5059.91234,97,0.1371417750284055,4
19,21,9243.333333333334,5075.697193,97,0.13058600793364586,4
20,19,10852.333333333334,5059.91234,97,0.13346438553920814,4
20,21,5159.0,5229.910063,97,0.09359371971312269,4
20,23,5086.666666666667,4885.357564,97,0.14237221494102226,4
21,14,6121.333333333333,9599.180565,97,0.11830755826617294,4
21,19,8435.0,5075.697193,97,0.14310017783046827,4
21,20,5207.5,5229.910063,97,0.0927220355256841,4
21,22,7277.666666666667,5000.0,97,0.13267301790867034,4
22,13,7245.333333333333,4924.790605,97,0.1332650901729849,4
22,21,6437.0,5000.0,97,0.15,4
22,23,3477.6666666666665,5078.508436,97,0.1388430940285632,4
23,12,7439.333333333333,5091.256152,97,0.12978985572183888,4
23,20,6848.833333333333,4885.357564,97,0.10574063709147542,4
23,22,4124.333333333333,5078.508436,97,0.11707346641881516,4
