# Main file: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
200,0,1,388.367,388.434,25900,4873.04
200,0,2,238.899,239.455,23403,8261.35
200,1,0,391.967,392.023,25900,4661.59
200,1,5,298.652,385.041,4958,5842.62
200,2,0,238.899,239.515,23403,8472.8
200,2,3,238.899,256.973,17110,14419.1
200,2,11,238.899,240.238,23403,10289.3
200,3,2,238.899,258.202,17110,14658.2
200,3,4,119.468,140.104,17782,18420.4
200,3,10,381.167,451.011,4908,5240.02
200,4,3,119.468,141.373,17782,18697.3
200,4,5,298.899,615.408,4947,8528.29
200,4,8,329.852,606.334,10000,15761.7
200,5,1,337.052,411.597,4958,5631.17
200,5,4,302.499,642.962,4947,8685.26
200,5,7,129.068,914.183,4898,12601.3
200,6,7,204.384,350.612,7841,11975.2
200,6,17,165.068,168.031,23403,14923.7
200,7,5,124.268,895.894,4898,12546.8
200,7,6,225.984,366.78,7841,11862.4
200,7,8,602.066,923.071,5050,6947.91
200,7,15,359.852,753.633,5045,8686.82
200,8,4,332.252,617.246,10000,15881.6
200,8,7,621.266,924.177,5050,6847.87
200,8,9,234.384,397.004,13915,21823.8
200,9,8,198.384,364.607,13915,21943.7
200,9,10,358.652,784.554,10000,17559.6
200,9,14,383.567,839.124,13512,23054.2
200,9,15,259.299,1282.09,4854,11219.4
200,9,16,477.835,974.213,4993,8099.76
200,10,3,377.567,450.783,4908,5302.15
200,10,9,343.052,761.81,10000,17485.5
200,10,11,358.367,835.125,4908,8469.82
200,10,13,242.499,811.861,4876,9734.96
200,11,2,266.499,267.824,23403,10261.7
200,11,10,420.767,904.713,4908,8501.57
200,11,12,179.184,180.722,25900,12669.4
200,12,11,188.184,189.774,25900,12773.6
200,12,23,284.499,1049.3,5091,10942.4
200,13,10,288.099,870.742,4876,9791.25
200,13,14,332.852,788.422,5127,9155.63
200,13,22,288.099,568.596,4924,8236.14
200,14,9,377.567,843.337,13512,23182.4
200,14,13,298.652,757.482,5127,9171.96
200,14,18,219.984,295.589,14564,18861.3
200,14,21,216.384,548.488,9599,17996.9
200,15,7,323.852,705.582,5045,8619.58
200,15,9,254.499,1264.82,4854,11185
200,15,16,155.468,602.424,5229,11685.5
200,15,17,203.184,212.056,19679,14916.5
200,16,9,524.635,1021.07,4993,8100
200,16,15,139.868,619.903,5229,11896
200,16,18,168.668,474.117,4823,9799.78
200,17,6,152.468,155.522,23403,15036.5
200,17,15,229.584,237.737,19679,14604.5
200,17,19,238.899,254.133,23403,18897.1
200,18,14,234.384,307.51,14564,18704.8
200,18,16,157.868,490.445,4823,10010.5
200,18,19,252.099,613.676,5002,8914.92
200,19,17,285.699,299.99,23403,18597.9
200,19,18,280.899,651.348,5002,8969.11
200,19,20,391.967,539.572,5059,6512.31
200,19,21,343.052,505.485,5075,7003.11
200,20,19,402.767,521.382,5059,6165.88
200,20,21,191.468,301.566,5229,8232.42
200,20,23,188.784,708.377,4885,10243.1
200,21,14,227.184,574.373,9599,18197.9
200,21,19,313.052,475.611,5075,7004.47
200,21,20,193.268,298.242,5229,8134.91
200,21,22,270.099,777.029,5000,9696.85
200,22,13,268.899,554.877,4924,8276.08
200,22,21,238.899,768.106,5000,9801.67
200,22,23,129.068,228.794,5078,7799.37
200,23,12,276.099,1042.06,5091,10946.6
200,23,20,254.184,725.081,4885,9994.22
200,23,22,153.068,260.407,5078,7944.13
