# Input graph: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/edges.csv
# OD-pairs: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/od0.csv
# Objective: user_eq
# Function: bpr
# Shortest-path algo: dijkstra
# Preprocessing time: 0ms
iteration,customization_time,query_time,line_search_time,total_time,obj_function_value,total_travel_cost
1,0,0,0,0,8.71378e+08,3.49125e+09,
2,0,0,0,0,4.01746e+08,9.83256e+08,
3,0,0,0,0,3.55843e+08,7.38274e+08,
4,0,0,0,0,3.39158e+08,6.60399e+08,
5,0,0,0,0,3.11777e+08,5.93385e+08,
6,0,0,0,0,3.11777e+08,5.93385e+08,
7,0,0,0,0,3.03313e+08,5.37817e+08,
8,0,0,0,0,2.9874e+08,5.12796e+08,
9,0,0,0,0,2.93858e+08,5.0499e+08,
10,0,0,0,0,2.87477e+08,4.94894e+08,
11,0,0,0,0,2.85967e+08,4.85269e+08,
12,0,0,0,0,2.85422e+08,4.82608e+08,
13,0,0,0,0,2.84493e+08,4.78728e+08,
14,0,0,0,0,2.83435e+08,4.79068e+08,
15,0,0,0,0,2.81826e+08,4.77956e+08,
16,0,0,0,0,2.81029e+08,4.72814e+08,
17,0,0,0,0,2.80728e+08,4.73296e+08,
18,0,0,0,0,2.80487e+08,4.71636e+08,
19,0,0,0,0,2.80187e+08,4.72474e+08,
20,0,0,0,0,2.79941e+08,4.73309e+08,
21,0,0,0,0,2.79589e+08,4.73849e+08,
22,0,0,0,0,2.79391e+08,4.71751e+08,
23,0,0,0,0,2.79126e+08,4.71736e+08,
24,0,0,0,0,2.78977e+08,4.71711e+08,
25,0,0,0,0,2.78876e+08,4.71246e+08,
26,0,0,0,0,2.78808e+08,4.71523e+08,
27,0,0,0,0,2.7877e+08,4.71043e+08,
28,0,0,0,0,2.78736e+08,4.70166e+08,
29,0,0,0,0,2.78713e+08,4.70465e+08,
30,0,0,0,0,2.78686e+08,4.70944e+08,
31,0,0,0,0,2.78654e+08,4.70927e+08,
32,0,0,0,0,2.78632e+08,4.70839e+08,
33,0,0,0,0,2.78614e+08,4.71094e+08,
34,0,0,0,0,2.78594e+08,4.71491e+08,
35,0,0,0,0,2.78577e+08,4.71159e+08,
36,0,0,0,0,2.78557e+08,4.70641e+08,
37,0,0,0,0,2.78544e+08,4.70593e+08,
38,0,0,0,0,2.78502e+08,4.71209e+08,
39,0,0,0,0,2.78474e+08,4.71561e+08,
40,0,0,0,0,2.78458e+08,4.71278e+08,
41,0,0,0,0,2.78447e+08,4.7144e+08,
42,0,0,0,0,2.78441e+08,4.71455e+08,
43,0,0,0,0,2.78439e+08,4.71457e+08,
44,0,0,0,0,2.78436e+08,4.71586e+08,
45,0,0,0,0,2.78434e+08,4.71708e+08,
46,0,0,0,0,2.78432e+08,4.71639e+08,
47,0,0,0,0,2.78429e+08,4.71557e+08,
48,0,0,0,0,2.78426e+08,4.71503e+08,
49,0,0,0,0,2.78425e+08,4.71516e+08,
50,0,0,0,0,2.78424e+08,4.71626e+08,
51,0,0,0,0,2.78422e+08,4.71822e+08,
52,0,0,0,0,2.7842e+08,4.71856e+08,
53,0,0,0,0,2.78419e+08,4.71775e+08,
54,0,0,0,0,2.78418e+08,4.71868e+08,
55,0,0,0,0,2.78417e+08,4.71901e+08,
56,0,0,0,0,2.78416e+08,4.71832e+08,
57,0,0,0,0,2.78415e+08,4.71658e+08,
58,0,0,0,0,2.78413e+08,4.71744e+08,
59,0,0,0,0,2.7841e+08,4.71975e+08,
60,0,0,0,0,2.78408e+08,4.7191e+08,
61,0,0,0,0,2.78406e+08,4.719e+08,
62,0,0,0,0,2.78404e+08,4.71858e+08,
63,0,0,0,0,2.78404e+08,4.71864e+08,
64,0,0,0,0,2.78403e+08,4.71921e+08,
65,0,0,0,0,2.78403e+08,4.71884e+08,
66,0,0,0,0,2.78402e+08,4.71841e+08,
67,0,0,0,0,2.78401e+08,4.71876e+08,
68,0,0,0,0,2.784e+08,4.71937e+08,
69,0,0,0,0,2.784e+08,4.71927e+08,
70,0,0,0,0,2.78399e+08,4.7188e+08,
71,0,0,0,0,2.78399e+08,4.71933e+08,
72,0,0,0,0,2.78398e+08,4.71991e+08,
73,0,0,0,0,2.78398e+08,4.71941e+08,
74,0,0,0,0,2.78397e+08,4.71856e+08,
75,0,0,0,0,2.78397e+08,4.71932e+08,
76,0,0,0,0,2.78396e+08,4.71942e+08,
77,0,0,0,0,2.78395e+08,4.71848e+08,
78,0,0,0,0,2.78393e+08,4.71912e+08,
79,0,0,0,0,2.7839e+08,4.72029e+08,
80,0,0,0,0,2.78387e+08,4.72061e+08,
81,0,0,0,0,2.78385e+08,4.72085e+08,
82,0,0,0,0,2.78384e+08,4.71984e+08,
83,0,0,0,0,2.78383e+08,4.72049e+08,
84,0,0,0,0,2.78382e+08,4.72038e+08,
85,0,0,0,0,2.78381e+08,4.72122e+08,
86,0,0,0,0,2.78381e+08,4.72119e+08,
87,0,0,0,0,2.78381e+08,4.72132e+08,
88,0,0,0,0,2.7838e+08,4.7212e+08,
89,0,0,0,0,2.7838e+08,4.72126e+08,
90,0,0,0,0,2.7838e+08,4.72118e+08,
91,0,0,0,0,2.7838e+08,4.72136e+08,
92,0,0,0,0,2.7838e+08,4.72126e+08,
93,0,0,0,0,2.7838e+08,4.72123e+08,
94,0,0,0,0,2.7838e+08,4.72147e+08,
95,0,0,0,0,2.7838e+08,4.72137e+08,
96,0,0,0,0,2.7838e+08,4.72148e+08,
97,0,0,0,0,2.7838e+08,4.72135e+08,
98,0,0,0,0,2.7838e+08,4.72121e+08,
99,0,0,0,0,2.7838e+08,4.72129e+08,
100,0,0,0,0,2.7838e+08,4.72147e+08,
101,0,0,0,0,2.7838e+08,4.72143e+08,
102,0,0,0,0,2.7838e+08,4.72112e+08,
103,0,0,0,0,2.78379e+08,4.72108e+08,
104,0,0,0,0,2.78379e+08,4.72112e+08,
105,0,0,0,0,2.78379e+08,4.72058e+08,
106,0,0,0,0,2.78379e+08,4.7208e+08,
107,0,0,0,0,2.78379e+08,4.72139e+08,
108,0,0,0,0,2.78378e+08,4.72108e+08,
109,0,0,0,0,2.78378e+08,4.72088e+08,
110,0,0,0,0,2.78378e+08,4.72124e+08,
111,0,0,0,0,2.78378e+08,4.72124e+08,
112,0,0,0,0,2.78378e+08,4.72123e+08,
113,0,0,0,0,2.78378e+08,4.72129e+08,
114,0,0,0,0,2.78378e+08,4.7215e+08,
115,0,0,0,0,2.78378e+08,4.72147e+08,
