# Main file: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
200,0,1,358.967,359.097,25900,5739.06
200,0,2,239.499,240.391,23403,9296.59
200,1,0,358.367,358.493,25900,5700.34
200,1,5,339.452,419.197,4958,5726.89
200,2,0,239.499,240.406,23403,9335.3
200,2,3,238.899,259.475,17110,14894.1
200,2,11,238.899,240.577,23403,10886
200,3,2,239.499,261.805,17110,15197.7
200,3,4,141.668,164.557,17782,18903.9
200,3,10,421.967,490.163,4908,5208.82
200,4,3,120.068,144.426,17782,19200.3
200,4,5,369.699,593.477,4947,7820.23
200,4,8,299.252,590.75,10000,15971.5
200,5,1,334.052,411.662,4958,5688.17
200,5,4,373.899,604.222,4947,7876.8
200,5,7,121.268,946.549,4898,12759.5
200,6,7,179.184,354.481,7841,12530.5
200,6,17,119.468,123.991,23403,16588.2
200,7,5,134.468,964.376,4898,12777.3
200,7,6,179.184,364.6,7841,12707.5
200,7,8,614.666,962.834,5050,7090.45
200,7,15,352.052,677.821,5045,8284.66
200,8,4,298.652,608.055,10000,16211.3
200,8,7,598.466,955.008,5050,7132.71
200,8,9,201.984,358.548,13915,21617.7
200,9,8,195.984,363.913,13915,21999.7
200,9,10,349.052,766.582,10000,17472.6
200,9,14,368.567,821.666,13512,23023.1
200,9,15,322.899,1276.32,4854,11024.1
200,9,16,520.435,1016.54,4993,8098.67
200,10,3,370.967,444.952,4908,5316
200,10,9,357.452,764.491,10000,17361.8
200,10,11,459.167,850.102,4908,8059.83
200,10,13,280.899,807.249,4876,9545.66
200,11,2,238.899,240.419,23403,10621.1
200,11,10,433.967,847.283,4908,8172.79
200,11,12,179.184,180.811,25900,12847.9
200,12,11,179.784,181.385,25900,12796
200,12,23,267.099,1024.61,5091,10916.3
200,13,10,326.499,849.201,4876,9529.08
200,13,14,348.452,779.002,5127,9027.25
200,13,22,295.299,572.128,4924,8209.08
200,14,9,359.567,832.49,13512,23270.9
200,14,13,332.852,750.593,5127,8959.34
200,14,18,267.384,331.994,14564,18134.6
200,14,21,256.584,565.858,9599,17679.3
200,15,7,320.252,670.702,5045,8437.3
200,15,9,267.699,1272.7,4854,11170.3
200,15,16,175.868,592.156,5229,11479.7
200,15,17,179.184,193.508,19679,16814.2
200,16,9,497.635,993.477,4993,8097.58
200,16,15,155.468,585.737,5229,11574.9
200,16,18,188.468,460.347,4823,9518.66
200,17,6,119.468,123.801,23403,16411.1
200,17,15,179.184,194.215,19679,17017.8
200,17,19,238.899,258.341,23403,20085.4
200,18,14,222.984,288.277,14564,18182.4
200,18,16,160.868,443.66,4823,9612.77
200,18,19,278.499,575.862,5002,8489.63
200,19,17,238.899,258.058,23403,20012
200,19,18,285.099,602.838,5002,8631.47
200,19,20,399.767,562.419,5059,6672.29
200,19,21,302.252,465.314,5075,7009.88
200,20,19,405.167,565.1,5059,6644.23
200,20,21,183.068,275.802,5229,7886.64
200,20,23,237.984,742.626,4885,10168.6
200,21,14,248.784,560.315,9599,17711.5
200,21,19,317.252,479.984,5075,7006.33
200,21,20,191.468,285.22,5229,7908.2
200,21,22,288.699,757.821,5000,9510.76
200,22,13,270.099,553.915,4924,8260.4
200,22,21,291.699,770.798,5000,9560.93
200,22,23,175.268,269.222,5078,7683.97
200,23,12,321.099,1037.33,5091,10764.4
200,23,20,255.384,750.248,4885,10119
200,23,22,154.868,253.885,5078,7785.47
