# Input graph: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/edges.csv
# OD-pairs: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/od0.csv
# Objective: user_eq
# Function: bpr
# Shortest-path algo: dijkstra
# Preprocessing time: 0ms
iteration,customization_time,query_time,line_search_time,total_time,obj_function_value,total_travel_cost
1,0,0,0,0,9.31358e+08,3.76501e+09,
2,0,0,0,0,3.90746e+08,9.36008e+08,
3,0,0,0,0,3.39255e+08,6.79787e+08,
4,0,0,0,0,3.27326e+08,6.16823e+08,
5,0,0,0,0,3.13503e+08,5.74582e+08,
6,0,0,0,0,2.9923e+08,5.24342e+08,
7,0,0,0,0,2.96415e+08,5.06235e+08,
8,0,0,0,0,2.93979e+08,4.9874e+08,
9,0,0,0,0,2.9152e+08,4.88335e+08,
10,0,0,0,0,2.88425e+08,4.85587e+08,
11,0,0,0,0,2.86413e+08,4.80904e+08,
12,0,0,0,0,2.84636e+08,4.7496e+08,
13,0,0,0,0,2.8393e+08,4.73945e+08,
14,0,0,0,0,2.83567e+08,4.72081e+08,
15,0,0,0,0,2.83114e+08,4.70072e+08,
16,0,0,0,0,2.82327e+08,4.71604e+08,
17,0,0,0,0,2.81758e+08,4.71137e+08,
18,0,0,0,0,2.81567e+08,4.69185e+08,
19,0,0,0,0,2.81397e+08,4.68634e+08,
20,0,0,0,0,2.81237e+08,4.67829e+08,
21,0,0,0,0,2.811e+08,4.67013e+08,
22,0,0,0,0,2.80985e+08,4.67287e+08,
23,0,0,0,0,2.80869e+08,4.67525e+08,
24,0,0,0,0,2.80819e+08,4.66493e+08,
25,0,0,0,0,2.80786e+08,4.66247e+08,
26,0,0,0,0,2.80745e+08,4.65964e+08,
27,0,0,0,0,2.8072e+08,4.66283e+08,
28,0,0,0,0,2.80689e+08,4.66516e+08,
29,0,0,0,0,2.80661e+08,4.66554e+08,
30,0,0,0,0,2.80638e+08,4.66518e+08,
31,0,0,0,0,2.80612e+08,4.66281e+08,
32,0,0,0,0,2.80584e+08,4.6621e+08,
33,0,0,0,0,2.8057e+08,4.66125e+08,
34,0,0,0,0,2.80559e+08,4.65966e+08,
35,0,0,0,0,2.80536e+08,4.65987e+08,
36,0,0,0,0,2.80515e+08,4.6601e+08,
37,0,0,0,0,2.80505e+08,4.66237e+08,
38,0,0,0,0,2.80491e+08,4.66084e+08,
39,0,0,0,0,2.8048e+08,4.65897e+08,
40,0,0,0,0,2.80469e+08,4.6608e+08,
41,0,0,0,0,2.80461e+08,4.65989e+08,
42,0,0,0,0,2.80457e+08,4.66028e+08,
43,0,0,0,0,2.80452e+08,4.6594e+08,
44,0,0,0,0,2.80447e+08,4.65729e+08,
45,0,0,0,0,2.80443e+08,4.65823e+08,
46,0,0,0,0,2.80439e+08,4.66024e+08,
47,0,0,0,0,2.80436e+08,4.66028e+08,
48,0,0,0,0,2.80433e+08,4.65941e+08,
49,0,0,0,0,2.8043e+08,4.65921e+08,
50,0,0,0,0,2.80428e+08,4.66053e+08,
51,0,0,0,0,2.80426e+08,4.6615e+08,
52,0,0,0,0,2.80424e+08,4.66211e+08,
53,0,0,0,0,2.80423e+08,4.66184e+08,
