edge_tail,edge_head,length,capacity,speed,b,power
0,1,9656.0,25900.20064,97,0.15,4
0,2,6438.340207494782,23403.47319,97,0.14996877593949084,4
1,0,9656.0,25900.20064,97,0.15,4
1,5,9423.495976986374,4958.180928,97,0.12808940577337768,4
2,0,6437.0,23403.47319,97,0.15,4
2,3,6437.0,17110.52372,97,0.15,4
2,11,6437.0,23403.47319,97,0.15,4
3,2,6437.0,17110.52372,97,0.15,4
3,4,3219.0,17782.7941,97,0.15,4
3,10,11410.755665871024,4908.82673,97,0.12693287302015316,4
4,3,3219.0,17782.7941,97,0.15,4
4,5,9696.728655726376,4947.995469,97,0.0995748189189348,4
4,8,8047.0,10000.0,97,0.15,4
5,1,8248.637718340991,4958.180928,97,0.14633325419494458,4
5,4,9578.355123888221,4947.995469,97,0.10080540839334073,4
5,7,3219.0,4898.587646,97,0.15,4
6,7,4828.752376819609,7841.81131,97,0.14997662822316524,4
6,17,3219.0,23403.47319,97,0.15,4
7,5,3274.805710885621,4898.587646,97,0.14744386159917272,4
7,6,4828.0,7841.81131,97,0.15,4
7,8,16093.96423387742,5050.193156,97,0.14999101308543308,4
7,15,8680.230331913355,5045.822583,97,0.13905736989054457,4
8,4,8050.948368502602,10000.0,97,0.14992643658258853,4
8,7,16093.0,5050.193156,97,0.15,4
8,9,4865.491309526484,13915.78842,97,0.14884416679196166,4
9,8,4985.055371893422,13915.78842,97,0.1452742138198025,4
9,10,8859.705083504557,10000.0,97,0.13624042658568242,4
9,14,9656.0,13512.00155,97,0.15,4
9,15,7281.465033611892,4854.917717,97,0.13260380919814008,4
9,16,13472.032803627792,4993.510694,97,0.14335253099145862,4
10,3,9656.426275846023,4908.82673,97,0.1499933783601638,4
10,9,8836.526152680779,10000.0,97,0.13659779636750258,4
10,11,10939.309894698823,4908.82673,97,0.1324032332882253,4
10,13,6890.690717585651,4876.508287,97,0.14012383367255637,4
11,2,6437.0,23403.47319,97,0.15,4
11,10,10611.417494613765,4908.82673,97,0.13649448819963886,4
11,12,4828.0,25900.20064,97,0.15,4
12,11,4916.490802766775,25900.20064,97,0.1473001840240306,4
12,23,7919.146725230923,5091.256152,97,0.12192601469596391,4
13,10,6865.705129269111,4876.508287,97,0.14063377057715085,4
13,14,8643.459264199013,5127.526119,97,0.13964894877211606,4
13,22,7488.675906908746,4924.790605,97,0.12893467576948056,4
14,9,10672.270059397977,13512.00155,97,0.13571620582488372,4
14,13,8409.546768965261,5127.526119,97,0.14353330008871804,4
14,18,6066.203212149605,14564.75315,97,0.11938274645161025,4
14,21,6555.512483419476,9599.180565,97,0.11047191227713808,4
15,7,8254.322524344116,5045.822583,97,0.1462324735240354,4
15,9,7719.702508403241,4854.917717,97,0.125076063352047,4
15,16,5034.486929779748,5229.910063,97,0.09590848218194183,4
15,17,4828.0,19679.89671,97,0.15,4
16,9,14360.035560012273,4993.510694,97,0.13448782852445454,4
16,15,5131.31307305089,5229.910063,97,0.09409872154086188,4
16,18,6089.587005303911,4823.950831,97,0.07929109142860544,4
17,6,3219.0,23403.47319,97,0.15,4
17,15,4828.0,19679.89671,97,0.15,4
17,19,6437.0,23403.47319,97,0.15,4
18,14,6220.941747178884,14564.75315,97,0.11641324246902252,4
18,16,5493.360517528508,4823.950831,97,0.08789701649096147,4
18,19,7832.314776879847,5002.607563,97,0.12327773174415818,4
19,17,6437.0,23403.47319,97,0.15,4
19,18,6995.147456536711,5002.607563,97,0.13803140048144785,4
19,20,10290.173845484413,5059.91234,97,0.14075563948179498,4
19,21,8051.528801488761,5075.697193,97,0.1499156284178989,4
20,19,10455.023897040077,5059.91234,97,0.13853626871288707,4
20,21,5959.972759019465,5229.910063,97,0.0810154709632328,4
20,23,6017.552955283546,4885.357564,97,0.120347923048045,4
21,14,6537.10379681378,9599.180565,97,0.11078300460105574,4
21,19,9041.867415285107,5075.697193,97,0.13349565355929735,4
21,20,4735.68400367162,5229.910063,97,0.10195992799047442,4
21,22,7137.938420674829,5000.0,97,0.13527014988015484,4
22,13,7342.202574629879,4924.790605,97,0.13150685917279714,4
22,21,7923.333006221666,5000.0,97,0.12186159527080558,4
22,23,3989.585374728321,5078.508436,97,0.12102761431264787,4
23,12,8047.810277419612,5091.256152,97,0.11997673487769973,4
23,20,5608.016044527037,4885.357564,97,0.12913657775761175,4
23,22,3754.137134371363,5078.508436,97,0.12861810389908787,4
