# Main file: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
200,0,1,358.367,358.468,25900,5398.23
200,0,2,238.949,239.845,23403,9307
200,1,0,358.367,358.494,25900,5707
200,1,5,349.738,416.743,4958,5483.02
200,2,0,238.899,239.682,23403,8998.23
200,2,3,238.899,260.622,17110,15097.5
200,2,11,238.899,240.448,23403,10670.3
200,3,2,238.899,259.389,17110,14878.5
200,3,4,119.468,143.294,17782,19094.4
200,3,10,423.492,491.542,4908,5206.03
200,4,3,119.468,142.178,17782,18866.9
200,4,5,359.879,610.869,4947,8047.85
200,4,8,298.652,594.884,10000,16035.9
200,5,1,306.135,389.557,4958,5791.8
200,5,4,355.485,586.496,4947,7882.68
200,5,7,119.468,915.795,4898,12646.1
200,6,7,179.211,352.813,7841,12500.1
200,6,17,119.468,123.643,23403,16258.8
200,7,5,121.539,954.656,4898,12789.7
200,7,6,179.184,346.676,7841,12388.6
200,7,8,597.302,953.174,5050,7129.35
200,7,15,322.153,663.763,5045,8383.59
200,8,4,298.798,590.448,10000,15973.6
200,8,7,597.266,932.97,5050,7026.13
200,8,9,180.575,342.644,13915,21805.2
200,9,8,185.012,345.14,13915,21739.6
200,9,10,328.814,754.584,10000,17558.2
200,9,14,358.367,814.92,13512,23066.8
200,9,15,270.24,1254.82,4854,11113.1
200,9,16,499.993,996.429,4993,8100
200,10,3,358.383,432.287,4908,5314.55
200,10,9,327.954,751.835,10000,17538.7
200,10,11,405.995,822.539,4908,8188.7
200,10,13,255.737,816.205,4876,9696.72
200,11,2,238.899,240.396,23403,10580.6
200,11,10,393.826,829.021,4908,8278.86
200,11,12,179.184,180.767,25900,12760.5
200,12,11,182.468,184.102,25900,12860.9
200,12,23,293.906,1033.51,5091,10851.2
200,13,10,254.81,838.483,4876,9795.57
200,13,14,320.788,751.994,5127,9030.68
200,13,22,277.93,556.072,4924,8218.8
200,14,9,396.084,839.46,13512,22898.5
200,14,13,312.107,754.179,5127,9087.04
200,14,18,225.137,291.089,14564,18228
200,14,21,243.297,566.035,9599,17868.6
200,15,7,306.346,670.559,5045,8518.95
200,15,9,286.504,1278.96,4854,11135.3
200,15,16,186.847,588.959,5229,11380.7
200,15,17,179.184,194.139,19679,16996.5
200,16,9,532.95,1029.39,4993,8100
200,16,15,190.44,607.369,5229,11484.1
200,16,18,226.005,459.224,4823,9160.57
200,17,6,119.468,123.758,23403,16370.2
200,17,15,179.184,194.331,19679,17050.6
200,17,19,238.899,259.225,23403,20309.9
200,18,14,230.88,297.611,14564,18281.6
200,18,16,203.877,447.808,4823,9263.99
200,18,19,290.684,603.667,5002,8598.99
200,19,17,238.899,259.489,23403,20375.5
200,19,18,259.614,596.096,5002,8756.05
200,19,20,381.903,533.815,5059,6559.3
200,19,21,298.82,461.406,5075,7004.75
200,20,19,388.022,551.522,5059,6680.97
200,20,21,221.195,309.512,5229,7791.01
200,20,23,223.332,719.224,4885,10124.3
200,21,14,242.614,546.591,9599,17603.1
200,21,19,335.574,498.249,5075,7005.71
200,21,20,175.757,273.321,5229,7987.4
200,21,22,264.913,745.283,5000,9567.26
200,22,13,272.494,556.432,4924,8261.28
200,22,21,294.062,760.881,5000,9499.06
200,22,23,148.067,248.309,5078,7809.42
200,23,12,298.682,1038.4,5091,10851.6
200,23,20,208.133,689.548,4885,10049.6
200,23,22,139.329,238.257,5078,7783.71
