# Input graph: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/edges.csv
# OD-pairs: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/od0.csv
# Objective: user_eq
# Function: bpr
# Shortest-path algo: dijkstra
# Preprocessing time: 0ms
iteration,customization_time,query_time,line_search_time,total_time,obj_function_value,total_travel_cost
1,0,0,0,0,1.0274e+09,4.27281e+09,
2,0,0,0,0,4.20422e+08,1.08644e+09,
3,0,0,0,0,3.51284e+08,7.4397e+08,
4,0,0,0,0,3.36135e+08,6.60229e+08,
5,0,0,0,0,3.13429e+08,5.91294e+08,
6,0,0,0,0,2.98153e+08,5.39551e+08,
7,0,0,0,0,2.93007e+08,5.09741e+08,
8,0,0,0,0,2.89557e+08,4.97969e+08,
9,0,0,0,0,2.8401e+08,4.85379e+08,
10,0,0,0,0,2.81699e+08,4.78987e+08,
11,0,0,0,0,2.8008e+08,4.72237e+08,
12,0,0,0,0,2.7909e+08,4.70739e+08,
13,0,0,0,0,2.78246e+08,4.71691e+08,
14,0,0,0,0,2.771e+08,4.68067e+08,
15,0,0,0,0,2.76614e+08,4.6663e+08,
16,0,0,0,0,2.7627e+08,4.65549e+08,
17,0,0,0,0,2.76063e+08,4.64914e+08,
18,0,0,0,0,2.75926e+08,4.63847e+08,
19,0,0,0,0,2.75813e+08,4.62753e+08,
20,0,0,0,0,2.75678e+08,4.62821e+08,
21,0,0,0,0,2.75443e+08,4.62946e+08,
22,0,0,0,0,2.75198e+08,4.62329e+08,
23,0,0,0,0,2.75065e+08,4.61248e+08,
24,0,0,0,0,2.75003e+08,4.61317e+08,
25,0,0,0,0,2.74972e+08,4.60559e+08,
26,0,0,0,0,2.74904e+08,4.60972e+08,
27,0,0,0,0,2.74865e+08,4.60912e+08,
28,0,0,0,0,2.74831e+08,4.60529e+08,
29,0,0,0,0,2.74798e+08,4.60449e+08,
30,0,0,0,0,2.74763e+08,4.60645e+08,
31,0,0,0,0,2.74742e+08,4.60806e+08,
32,0,0,0,0,2.74732e+08,4.60547e+08,
33,0,0,0,0,2.74722e+08,4.60438e+08,
34,0,0,0,0,2.74712e+08,4.6064e+08,
35,0,0,0,0,2.74703e+08,4.60691e+08,
36,0,0,0,0,2.74695e+08,4.60577e+08,
37,0,0,0,0,2.74687e+08,4.60463e+08,
38,0,0,0,0,2.74678e+08,4.60388e+08,
39,0,0,0,0,2.7467e+08,4.60453e+08,
40,0,0,0,0,2.74662e+08,4.60231e+08,
41,0,0,0,0,2.7465e+08,4.60313e+08,
42,0,0,0,0,2.74643e+08,4.60377e+08,
43,0,0,0,0,2.74637e+08,4.60158e+08,
44,0,0,0,0,2.74631e+08,4.6014e+08,
45,0,0,0,0,2.74626e+08,4.60182e+08,
46,0,0,0,0,2.74621e+08,4.60292e+08,
47,0,0,0,0,2.74611e+08,4.60341e+08,
48,0,0,0,0,2.746e+08,4.60233e+08,
49,0,0,0,0,2.7459e+08,4.602e+08,
50,0,0,0,0,2.74573e+08,4.60813e+08,
51,0,0,0,0,2.74561e+08,4.60958e+08,
52,0,0,0,0,2.74556e+08,4.6068e+08,
53,0,0,0,0,2.74552e+08,4.60584e+08,
54,0,0,0,0,2.7455e+08,4.60511e+08,
55,0,0,0,0,2.74548e+08,4.60501e+08,
56,0,0,0,0,2.74547e+08,4.60522e+08,
57,0,0,0,0,2.74546e+08,4.60581e+08,
58,0,0,0,0,2.74545e+08,4.6057e+08,
59,0,0,0,0,2.74545e+08,4.6055e+08,
60,0,0,0,0,2.74544e+08,4.60576e+08,
61,0,0,0,0,2.74544e+08,4.60628e+08,
62,0,0,0,0,2.74543e+08,4.6064e+08,
63,0,0,0,0,2.74543e+08,4.6061e+08,
64,0,0,0,0,2.74542e+08,4.60559e+08,
65,0,0,0,0,2.74542e+08,4.60542e+08,
66,0,0,0,0,2.74542e+08,4.6052e+08,
67,0,0,0,0,2.74541e+08,4.60573e+08,
68,0,0,0,0,2.74541e+08,4.6056e+08,
69,0,0,0,0,2.74541e+08,4.60519e+08,
70,0,0,0,0,2.74541e+08,4.60532e+08,
71,0,0,0,0,2.7454e+08,4.60498e+08,
72,0,0,0,0,2.7454e+08,4.60504e+08,
73,0,0,0,0,2.7454e+08,4.60478e+08,
74,0,0,0,0,2.7454e+08,4.60459e+08,
75,0,0,0,0,2.74539e+08,4.60479e+08,
76,0,0,0,0,2.74539e+08,4.60492e+08,
77,0,0,0,0,2.74539e+08,4.60486e+08,
78,0,0,0,0,2.74539e+08,4.60458e+08,
79,0,0,0,0,2.74539e+08,4.60466e+08,
80,0,0,0,0,2.74538e+08,4.60494e+08,
81,0,0,0,0,2.74538e+08,4.60489e+08,
82,0,0,0,0,2.74537e+08,4.60463e+08,
83,0,0,0,0,2.74537e+08,4.60455e+08,
84,0,0,0,0,2.74537e+08,4.60444e+08,
85,0,0,0,0,2.74536e+08,4.60497e+08,
86,0,0,0,0,2.74536e+08,4.60441e+08,
87,0,0,0,0,2.74536e+08,4.6043e+08,
88,0,0,0,0,2.74535e+08,4.60434e+08,
89,0,0,0,0,2.74535e+08,4.60415e+08,
90,0,0,0,0,2.74535e+08,4.60416e+08,
91,0,0,0,0,2.74535e+08,4.60444e+08,
92,0,0,0,0,2.74535e+08,4.605e+08,
93,0,0,0,0,2.74534e+08,4.60469e+08,
94,0,0,0,0,2.74534e+08,4.60426e+08,
95,0,0,0,0,2.74534e+08,4.60434e+08,
96,0,0,0,0,2.74534e+08,4.60457e+08,
97,0,0,0,0,2.74534e+08,4.60468e+08,
98,0,0,0,0,2.74534e+08,4.60456e+08,
