edge_tail,edge_head,length,capacity,speed,b,power
0,1,9656.0,25900.20064,97,0.15,4
0,2,6437.0,23403.47319,97,0.15,4
1,0,9656.0,25900.20064,97,0.15,4
1,5,8047.0,4958.180928,97,0.15,4
2,0,6437.0,23403.47319,97,0.15,4
2,3,6437.0,17110.52372,97,0.15,4
2,11,6437.0,23403.47319,97,0.15,4
3,2,6437.0,17110.52372,97,0.15,4
3,4,3219.0,17782.7941,97,0.15,4
3,10,9656.0,4908.82673,97,0.15,4
4,3,3219.0,17782.7941,97,0.15,4
4,5,6437.0,4947.995469,97,0.15,4
4,8,8047.0,10000.0,97,0.15,4
5,1,8047.0,4958.180928,97,0.15,4
5,4,6437.0,4947.995469,97,0.15,4
5,7,3219.0,4898.587646,97,0.15,4
6,7,4828.0,7841.81131,97,0.15,4
6,17,3219.0,23403.47319,97,0.15,4
7,5,3219.0,4898.587646,97,0.15,4
7,6,4828.0,7841.81131,97,0.15,4
7,8,16093.0,5050.193156,97,0.15,4
7,15,8047.0,5045.822583,97,0.15,4
8,4,8047.0,10000.0,97,0.15,4
8,7,16093.0,5050.193156,97,0.15,4
8,9,4828.0,13915.78842,97,0.15,4
9,8,4828.0,13915.78842,97,0.15,4
9,10,8047.0,10000.0,97,0.15,4
9,14,9656.0,13512.00155,97,0.15,4
9,15,6437.0,4854.917717,97,0.15,4
9,16,12875.0,4993.510694,97,0.15,4
10,3,9656.0,4908.82673,97,0.15,4
10,9,8047.0,10000.0,97,0.15,4
10,11,9656.0,4908.82673,97,0.15,4
10,13,6437.0,4876.508287,97,0.15,4
11,2,6437.0,23403.47319,97,0.15,4
11,10,9656.0,4908.82673,97,0.15,4
11,12,4828.0,25900.20064,97,0.15,4
12,11,4828.0,25900.20064,97,0.15,4
12,23,6437.0,5091.256152,97,0.15,4
13,10,6437.0,4876.508287,97,0.15,4
13,14,8047.0,5127.526119,97,0.15,4
13,22,6437.0,4924.790605,97,0.15,4
14,9,9656.0,13512.00155,97,0.15,4
14,13,8047.0,5127.526119,97,0.15,4
14,18,4828.0,14564.75315,97,0.15,4
14,21,4828.0,9599.180565,97,0.15,4
15,7,8047.0,5045.822583,97,0.15,4
15,9,6437.0,4854.917717,97,0.15,4
15,16,3219.0,5229.910063,97,0.15,4
15,17,4828.0,19679.89671,97,0.15,4
16,9,12875.0,4993.510694,97,0.15,4
16,15,3219.0,5229.910063,97,0.15,4
16,18,3219.0,4823.950831,97,0.15,4
17,6,3219.0,23403.47319,97,0.15,4
17,15,4828.0,19679.89671,97,0.15,4
17,19,6437.0,23403.47319,97,0.15,4
18,14,4828.0,14564.75315,97,0.15,4
18,16,3219.0,4823.950831,97,0.15,4
18,19,6437.0,5002.607563,97,0.15,4
19,17,6437.0,23403.47319,97,0.15,4
19,18,6437.0,5002.607563,97,0.15,4
19,20,9656.0,5059.91234,97,0.15,4
19,21,8047.0,5075.697193,97,0.15,4
20,19,9656.0,5059.91234,97,0.15,4
20,21,3219.0,5229.910063,97,0.15,4
20,23,4828.0,4885.357564,97,0.15,4
21,14,4828.0,9599.180565,97,0.15,4
21,19,8047.0,5075.697193,97,0.15,4
21,20,3219.0,5229.910063,97,0.15,4
21,22,6437.0,5000.0,97,0.15,4
22,13,6437.0,4924.790605,97,0.15,4
22,21,6437.0,5000.0,97,0.15,4
22,23,3219.0,5078.508436,97,0.15,4
23,12,6437.0,5091.256152,97,0.15,4
23,20,4828.0,4885.357564,97,0.15,4
23,22,3219.0,5078.508436,97,0.15,4
