# Main file: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
200,0,1,358.367,358.416,25900,4501.87
200,0,2,238.899,239.419,23403,8124.55
200,1,0,358.367,358.417,25900,4524.77
200,1,5,298.652,392.732,4958,5968.53
200,2,0,238.899,239.414,23403,8101.66
200,2,3,238.899,255.062,17110,14021.8
200,2,11,238.899,240.113,23403,10039.5
200,3,2,238.899,255.184,17110,14048.1
200,3,4,119.468,138.423,17782,18033.4
200,3,10,358.367,426.849,4908,5214.26
200,4,3,119.468,138.541,17782,18061.3
200,4,5,238.899,596.773,4947,8794.24
200,4,8,298.652,577.19,10000,15790.9
200,5,1,298.652,394.184,4958,5991.42
200,5,4,238.899,597.288,4947,8797.39
200,5,7,119.468,878.845,4898,12496.8
200,6,7,179.184,332.415,7841,12116.1
200,6,17,119.468,123.197,23403,15806.4
200,7,5,119.468,885.196,4898,12522.8
200,7,6,179.184,329.993,7841,12067.9
200,7,8,597.266,907.175,5050,6887.08
200,7,15,298.652,637.606,5045,8367.24
200,8,4,298.652,578.941,10000,15815.7
200,8,7,597.266,898.501,5050,6838.38
200,8,9,179.184,340.213,13915,21770.2
200,9,8,179.184,342.475,13915,21846.2
200,9,10,298.652,740.92,10000,17725.9
200,9,14,358.367,820.094,13512,23131.9
200,9,15,238.899,1197.67,4854,11039.6
200,9,16,477.835,974.217,4993,8099.78
200,10,3,358.367,432.164,4908,5312.62
200,10,9,298.652,728.99,10000,17605.1
200,10,11,358.367,811.748,4908,8364.03
200,10,13,238.899,820.113,4876,9785.24
200,11,2,238.899,240.089,23403,9990.35
200,11,10,358.367,822.313,4908,8412.33
200,11,12,179.184,180.563,25900,12327.6
200,12,11,179.184,180.608,25900,12426.7
200,12,23,238.899,1051.16,5091,11108.4
200,13,10,238.899,827.103,4876,9814.52
200,13,14,298.652,728.869,5127,9025.5
200,13,22,238.899,540.985,4924,8390.24
200,14,9,358.367,825.715,13512,23202
200,14,13,298.652,738.074,5127,9073.4
200,14,18,179.184,258.245,14564,19073.2
200,14,21,179.184,541.426,9599,18392
200,15,7,298.652,641.934,5045,8393.83
200,15,9,238.899,1206.92,4854,11066.1
200,15,16,119.468,564.966,5229,11676
200,15,17,179.184,189.002,19679,15299.2
200,16,9,477.835,974.271,4993,8100
200,16,15,119.468,562.352,5229,11658.8
200,16,18,119.468,444.497,4823,9953.19
200,17,6,119.468,123.243,23403,15854.6
200,17,15,179.184,189.184,19679,15369.5
200,17,19,238.899,254.546,23403,19024.1
200,18,14,179.184,258.847,14564,19109.4
200,18,16,119.468,442.289,4823,9936.24
200,18,19,238.899,563.656,5002,8678.74
200,19,17,238.899,254.607,23403,19042.5
200,19,18,238.899,566.549,5002,8698.01
200,19,20,358.367,488.816,5059,6314.23
200,19,21,298.652,460.888,5075,7000.98
200,20,19,358.367,483.823,5059,6252.92
200,20,21,119.468,251.809,5229,8619.98
200,20,23,179.184,710.139,4885,10298.7
200,21,14,179.184,539.992,9599,18373.7
200,21,19,298.652,460.797,5075,7000
200,21,20,119.468,250.602,5229,8600.26
200,21,22,238.899,738.906,5000,9663.57
200,22,13,238.899,538.313,4924,8371.63
200,22,21,238.899,730.895,5000,9624.63
200,22,23,119.468,223.506,5078,7882.34
200,23,12,238.899,1050.91,5091,11107.5
200,23,20,179.184,701.615,4885,10257.1
200,23,22,125.468,226.501,5078,7824.79
